Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,Matches
95,Seamus Coleman,ie IRL,DF,Everton,36-133,1988,2.2,25.9,35.9,72.2,475.5,229.1,12.3,13.2,93.1,10.9,14.1,77.4,2.73,7.27,37.5,0,0,0,0,0,2.73,0,0,3.64,Matches
96,Nathan Collins,ie IRL,DF,Brentford,23-297,2001,25,47.5,55.2,86,890.8,307.1,16.5,18.9,87.5,27,29.1,92.9,3.56,6,59.3,0.04,0.06,0.05,-0.02,0.28,3.04,0.28,0.08,3.52,Matches
97,Toby Collyer,eng ENG,MF,Manchester Utd,21-049,2004,1.4,40,45,88.9,612.9,67.9,18.6,20.7,89.7,17.1,17.9,96,2.14,2.86,75,0,0.07,0,-0.07,0.71,1.43,0.71,0,3.57,Matches
98,Levi Colwill,eng ENG,DF,Chelsea,21-361,2003,23,70.3,78.6,89.5,1271.9,458,25,26.9,93,40.9,43.3,94.6,3.87,6.57,58.9,0.04,0.04,0.05,0,0.35,4.57,0.26,0.09,4.35,Matches
99,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-018,1997,22.6,37.5,48.8,76.7,657.5,228.6,16.5,19.1,86.3,17,20,85,3.41,7.92,43,0.13,0.15,0.13,-0.02,1.73,5.09,0.88,0.22,5.49,Matches
100,Maxwel Cornet,ci CIV,FW,Southampton,28-147,1996,0.8,21.3,27.5,77.3,327.5,46.3,11.3,12.5,90,7.5,10,75,1.25,2.5,50,0,0,0,0,0,0,0,0,0,Matches
101,Vladimir Coufal,cz CZE,DF,West Ham,32-183,1992,8.2,36.2,47.6,76.2,607.8,243,17.9,20.5,87.5,14.5,18.7,77.8,3.05,6.83,44.6,0,0.07,0.11,-0.07,0.73,3.41,1.46,0.85,3.41,Matches
102,Woyo Coulibaly,fr FRA,DF,Leicester City,25-277,1999,0.7,37.1,42.9,86.7,642.9,205.7,18.6,20,92.9,15.7,20,78.6,2.86,2.86,100,0,0,0,0,0,2.86,0,0,0,Matches
103,Aaron Cresswell,eng ENG,DF,West Ham,35-068,1989,3.3,43.9,57,77.1,899.1,366.1,18.2,20.6,88.2,17.9,20.3,88.1,7.88,14.8,53.1,0,0.06,0.15,-0.06,1.52,4.24,0.61,0,3.94,Matches
104,Marc Cucurella,es ESP,DF,Chelsea,26-214,1998,21,52.6,59.2,88.7,813,222.9,26.9,28.6,94.2,22.6,25.1,90.1,1.95,3.24,60.3,0.05,0.08,0.09,-0.03,0.67,3.81,0.29,0.1,3.52,Matches
