Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
322,Alex McCarthy,eng ENG,GK,Southampton,35-080,1989,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
323,John McGinn,sct SCO,"MF,FW",Aston Villa,30-126,1994,22,19,1537,17.1,0,0.18,0.18,0,0,0,0.23,0,0.12,0.12,0.15,0.27,1.46,4.27,3.74,0,0.18,0.18,0,0.18,0.12,0.15,0.27,0.12,0.27,Matches
324,Dwight McNeil,eng ENG,"MF,FW",Everton,25-091,1999,13,13,1140,12.7,0.24,0.24,0.47,0.24,0,0,0.08,0,0.07,0.07,0.28,0.35,2.44,4.72,5.12,0.24,0.24,0.47,0.24,0.47,0.07,0.27,0.34,0.07,0.34,Matches
325,Scott McTominay,sct SCO,MF,Manchester Utd,28-075,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,5,10,0,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
326,Ben Mee,eng ENG,DF,Brentford,35-153,1989,6,2,177,2,0,0,0,0,0,0,1,0,0,0,0,0,1.5,5.5,1,0,0,0,0,0,0,0,0,0,0,Matches
327,Jayden Meghoma,eng ENG,DF,Brentford,18-238,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
328,Mikel Merino,es ESP,MF,Arsenal,28-244,1996,17,8,789,8.8,0.45,0.11,0.57,0.45,0,0,0.23,0,0.33,0.33,0.1,0.43,0.68,4.77,5.8,0.46,0.11,0.57,0.46,0.57,0.33,0.11,0.44,0.33,0.44,Matches
329,Nikola Milenkovic,rs SRB,DF,Nott'ham Forest,27-132,1997,24,24,2160,24,0.08,0.04,0.13,0.08,0,0,0.08,0,0.13,0.13,0.01,0.14,0.08,1.63,0.17,0.08,0.04,0.12,0.08,0.12,0.13,0.01,0.14,0.13,0.14,Matches
330,Lewis Miley,eng ENG,MF,Newcastle Utd,18-296,2006,6,0,80,0.9,0,0,0,0,0,0,0,0,0.44,0.44,0,0.44,0,4.44,3.33,0,0,0,0,0,0.46,0,0.46,0.46,0.46,Matches
331,James Milner,eng ENG,MF,Brighton,39-048,1986,3,3,169,1.9,0,0,0,0,0,0,0.53,0,0.11,0.11,0.11,0.21,0.53,5.26,5.26,0,0,0,0,0,0.09,0.12,0.21,0.09,0.21,Matches
332,Tyrone Mings,eng ENG,DF,Aston Villa,31-345,1993,8,6,633,7,0,0,0,0,0,0,0.14,0,0.04,0.04,0.03,0.07,0.14,3.43,0,0,0,0,0,0,0.05,0.03,0.07,0.05,0.07,Matches
333,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-214,2004,20,9,928,10.3,0.49,0.19,0.68,0.49,0,0,0.58,0,0.27,0.27,0.31,0.57,4.27,2.23,10.7,0.48,0.19,0.68,0.48,0.68,0.27,0.31,0.58,0.27,0.58,Matches
334,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-173,1999,25,25,2149,23.9,0,0.13,0.13,0,0,0,0.08,0,0.03,0.03,0.18,0.2,1.88,2.09,5.23,0,0.13,0.13,0,0.13,0.03,0.18,0.2,0.03,0.2,Matches
335,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-277,1997,25,22,1980,22,0.27,0.14,0.41,0.27,0,0,0,0,0.24,0.24,0.2,0.43,5.18,3.14,10.7,0.27,0.14,0.41,0.27,0.41,0.24,0.19,0.43,0.24,0.43,Matches
336,Jakub Moder,pl POL,MF,Brighton,25-320,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0,0,2,2,20,40,0,0,0,0,0,0,0,1.45,1.45,0,1.45,Matches
337,Mikey Moore,eng ENG,"FW,MF",Tottenham,17-194,2007,7,2,185,2.1,0,0.48,0.48,0,0,0,0,0,0.1,0.1,0.14,0.24,4.29,3.33,14.3,0,0.49,0.49,0,0.49,0.1,0.16,0.26,0.1,0.26,Matches
338,Morato,br BRA,DF,Nott'ham Forest,23-236,2001,18,4,601,6.7,0,0,0,0,0,0,0.15,0,0.01,0.01,0,0.01,0,1.94,0.15,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
339,Alex Moreno,es ESP,DF,Nott'ham Forest,31-258,1993,13,10,813,9,0,0.11,0.11,0,0,0,0.22,0,0.02,0.02,0.11,0.12,2.67,3.22,3.11,0,0.11,0.11,0,0.11,0.02,0.11,0.12,0.02,0.12,Matches
340,Sam Morsy,eg EGY,MF,Ipswich Town,33-164,1991,22,21,1903,21.1,0.05,0.05,0.09,0.05,0,0,0.33,0,0.01,0.01,0.03,0.05,0.47,4.08,0.43,0.05,0.05,0.09,0.05,0.09,0.01,0.03,0.05,0.01,0.05,Matches
341,Yerson Mosquera,co COL,DF,Wolves,23-295,2001,5,5,441,4.9,0,0,0,0,0,0,0.41,0,0.06,0.06,0.02,0.08,0,1.43,0,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
342,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-042,1999,8,4,247,2.7,0,0,0,0,0,0,0.74,0,0.15,0.15,0.04,0.19,0.74,2.96,1.85,0,0,0,0,0,0.14,0.04,0.18,0.14,0.18,Matches
343,Divin Mubama,eng ENG,FW,Manchester City,20-119,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
344,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-047,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.18,0.18,0.59,0.71,4.12,2.94,7.06,0,0,0,0,0,0.15,0.58,0.73,0.15,0.73,Matches
345,Marshall Munetsi,zw ZIM,FW,Wolves,28-244,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,1.2,1.2,0,1.2,0,4,2,0,0,0,0,0,1.19,0,1.19,1.19,1.19,Matches
346,Rodrigo Muniz,br BRA,FW,Fulham,23-293,2001,24,5,687,7.6,0.53,0.13,0.66,0.53,0,0,0.13,0,0.51,0.51,0.08,0.59,0.53,2.5,3.29,0.52,0.13,0.66,0.52,0.66,0.51,0.08,0.59,0.51,0.59,Matches
347,Daniel Munoz,co COL,DF,Crystal Palace,28-271,1996,24,24,2073,23,0.09,0.13,0.22,0.09,0,0,0.22,0,0.15,0.15,0.16,0.31,1.39,2.57,6.17,0.09,0.13,0.22,0.09,0.22,0.15,0.16,0.31,0.15,0.31,Matches
348,Arijanet Muric,xk KVX,GK,Ipswich Town,26-106,1998,18,18,1620,18,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,Matches
349,Murillo,br BRA,DF,Nott'ham Forest,22-232,2002,24,24,2118,23.5,0.04,0,0.04,0.04,0,0,0.21,0,0.05,0.05,0.05,0.09,0.55,3.06,0.17,0.04,0,0.04,0.04,0.04,0.05,0.05,0.09,0.05,0.09,Matches
350,Jacob Murphy,eng ENG,FW,Newcastle Utd,29-363,1995,22,18,1431,15.9,0.25,0.5,0.75,0.25,0,0,0.13,0,0.16,0.16,0.4,0.56,3.14,3.33,8.24,0.25,0.5,0.75,0.25,0.75,0.16,0.4,0.56,0.16,0.56,Matches
351,Vitaliy Mykolenko,ua UKR,DF,Everton,25-268,1999,23,23,2002,22.2,0,0,0,0,0,0,0.09,0,0.02,0.02,0.05,0.07,0.99,3.6,2.39,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches
352,Iliman Ndiaye,sn SEN,FW,Everton,24-352,2000,24,22,1877,20.9,0.29,0,0.29,0.24,0.05,0.05,0.14,0,0.17,0.13,0.07,0.21,3.4,1.82,4.55,0.29,0,0.29,0.24,0.24,0.17,0.07,0.25,0.13,0.21,Matches
353,Wilfred Ndidi,ng NGA,MF,Leicester City,28-067,1996,16,16,1299,14.4,0,0.28,0.28,0,0,0,0.28,0,0.1,0.1,0.1,0.2,0.63,2.57,3.4,0,0.28,0.28,0,0.28,0.11,0.09,0.2,0.11,0.2,Matches
354,Kosta Nedeljkovic,rs SRB,DF,Aston Villa,19-067,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.71,4.29,0,0,0,0,0,0,0,0,0,0,0,Matches
355,Reiss Nelson,eng ENG,FW,Arsenal,25-073,1999,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
356,Reiss Nelson,eng ENG,FW,Fulham,25-073,1999,11,5,487,5.4,0.19,0.19,0.37,0.19,0,0,0.19,0,0.2,0.2,0.19,0.39,8.33,6.48,11.7,0.18,0.18,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39,Matches
357,Neto,br BRA,GK,Bournemouth,35-217,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
358,Pedro Neto,pt POR,FW,Chelsea,24-349,2000,22,12,1194,13.3,0.15,0.15,0.3,0.15,0,0,0.45,0,0.1,0.1,0.2,0.3,5.94,1.95,8.8,0.15,0.15,0.3,0.15,0.3,0.1,0.2,0.3,0.1,0.3,Matches
359,Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,25-267,1999,18,6,632,7,0,0.14,0.14,0,0,0,0.43,0,0.24,0.24,0.19,0.43,4.29,1.86,7.57,0,0.14,0.14,0,0.14,0.25,0.18,0.43,0.25,0.43,Matches
360,Christopher Nkunku,fr FRA,FW,Chelsea,27-099,1997,21,4,552,6.1,0.33,0.16,0.49,0.33,0,0,0.16,0,0.66,0.66,0.28,0.92,1.48,2.95,7.38,0.33,0.16,0.49,0.33,0.49,0.64,0.27,0.92,0.64,0.92,Matches
361,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-178,1998,17,10,894,9.9,0,0.4,0.4,0,0,0,0.2,0,0.05,0.05,0.29,0.34,3.94,3.43,12.2,0,0.4,0.4,0,0.4,0.05,0.29,0.34,0.05,0.34,Matches
362,Darwin Nunez,uy URU,FW,Liverpool,25-242,1999,21,7,899,10,0.4,0.2,0.6,0.4,0,0,0.6,0,0.41,0.41,0.1,0.51,1.9,2,6,0.4,0.2,0.6,0.4,0.6,0.41,0.1,0.51,0.41,0.51,Matches
363,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17-337,2007,15,4,381,4.2,0.71,0.24,0.95,0.71,0,0,0.24,0,0.17,0.17,0.17,0.33,4.76,4.05,10.5,0.71,0.24,0.94,0.71,0.94,0.17,0.16,0.33,0.17,0.33,Matches
364,Christian Norgaard,dk DEN,MF,Brentford,30-348,1994,22,22,1785,19.8,0.1,0.1,0.2,0.1,0,0,0.2,0.05,0.13,0.13,0.03,0.16,0.51,4.55,1.57,0.1,0.1,0.2,0.1,0.2,0.13,0.03,0.16,0.13,0.16,Matches
365,Jake O'Brien,ie IRL,DF,Everton,23-282,2001,8,5,491,5.5,0,0,0,0,0,0,0.36,0,0,0,0.02,0.02,0.36,2,1.64,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
366,Matt O'Riley,dk DEN,MF,Brighton,24-092,2000,12,5,475,5.3,0.19,0.19,0.38,0.19,0,0,0.19,0,0.23,0.23,0.23,0.45,1.7,4.15,4.72,0.19,0.19,0.38,0.19,0.38,0.23,0.22,0.45,0.23,0.45,Matches
367,Dara O'Shea,ie IRL,DF,Ipswich Town,25-354,1999,22,22,1952,21.7,0,0,0,0,0,0,0.23,0,0.04,0.04,0,0.04,0.14,2.35,0.05,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
368,Chidozie Obi-Martin,dk DEN,MF,Manchester Utd,17-084,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Wilson Odobert,fr FRA,FW,Tottenham,20-085,2004,4,2,166,1.8,0,0,0,0,0,0,0,0,0.22,0.22,0.06,0.28,7.22,5.56,10,0,0,0,0,0,0.23,0.03,0.26,0.23,0.26,Matches
370,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-296,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0,0,0.04,0.04,2.69,0,5.77,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
371,Caleb Okoli,it ITA,DF,Leicester City,23-223,2001,15,10,921,10.2,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01,0.29,2.65,0.2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
372,Robin Olsen,se SWE,GK,Aston Villa,35-044,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
373,Amadou Onana,be BEL,MF,Aston Villa,23-189,2001,17,14,1079,12,0.17,0,0.17,0.17,0,0,0.33,0,0.15,0.15,0.02,0.17,1.08,3,0.83,0.17,0,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17,Matches
374,Andre Onana,cm CMR,GK,Manchester Utd,28-325,1996,25,25,2250,25,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.04,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
375,Paul Onuachu,ng NGA,FW,Southampton,30-269,1994,15,7,634,7,0.29,0.14,0.43,0.29,0,0,0.14,0,0.24,0.24,0.06,0.31,0.86,1.29,2.71,0.28,0.14,0.43,0.28,0.43,0.24,0.06,0.31,0.24,0.31,Matches
376,Frank Onyeka,ng NGA,MF,Brentford,27-051,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,Matches
377,Lewis Orford,eng ENG,MF,West Ham,19-003,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,Matches
378,Stefan Ortega,de GER,GK,Manchester City,32-107,1992,9,9,810,9,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,William Osula,dk DEN,"FW,MF",Newcastle Utd,21-201,2003,9,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,2,10,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
380,Dango Ouattara,bf BFA,FW,Bournemouth,23-010,2002,22,13,1328,14.8,0.47,0.27,0.74,0.47,0,0,0.07,0,0.43,0.43,0.27,0.71,3.38,1.69,9.12,0.47,0.27,0.75,0.47,0.75,0.44,0.27,0.71,0.44,0.71,Matches
381,Nico O’Reilly,eng ENG,"MF,DF",Manchester City,19-337,2005,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
382,Alex Palmer,eng ENG,GK,Ipswich Town,28-195,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
383,Cole Palmer,eng ENG,MF,Chelsea,22-291,2002,25,25,2189,24.3,0.58,0.25,0.82,0.45,0.12,0.12,0.16,0,0.51,0.42,0.34,0.75,3.37,6.01,5.27,0.58,0.25,0.82,0.45,0.7,0.51,0.34,0.85,0.42,0.75,Matches
384,Emerson Palmieri,it ITA,DF,West Ham,30-202,1994,23,22,1677,18.6,0.11,0.05,0.16,0.11,0,0,0.27,0,0.09,0.09,0.08,0.17,1.72,2.53,3.49,0.11,0.05,0.16,0.11,0.16,0.09,0.08,0.16,0.09,0.16,Matches
385,Lucas Paqueta,br BRA,"MF,FW",West Ham,27-178,1997,23,20,1699,18.9,0.21,0,0.21,0.11,0.11,0.11,0.32,0,0.25,0.17,0.11,0.28,0.79,4.87,3.39,0.21,0,0.21,0.11,0.11,0.26,0.11,0.37,0.17,0.28,Matches
386,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-253,1993,24,21,1928,21.4,0.14,0.09,0.23,0.14,0,0,0.09,0,0.07,0.07,0.07,0.15,0.93,6.03,1.36,0.14,0.09,0.23,0.14,0.23,0.07,0.07,0.15,0.07,0.15,Matches
387,Nathan Patterson,sct SCO,"DF,FW",Everton,23-128,2001,7,0,129,1.4,0,0,0,0,0,0,0,0,0.07,0.07,0.21,0.29,2.86,5,5,0,0,0,0,0,0.05,0.24,0.29,0.05,0.29,Matches
388,Andreas Pereira,br BRA,MF,Fulham,29-051,1996,22,16,1283,14.3,0.14,0.14,0.28,0.14,0,0.07,0.49,0,0.21,0.15,0.21,0.36,0.98,5.31,3.36,0.14,0.14,0.28,0.14,0.28,0.21,0.21,0.42,0.16,0.37,Matches
389,Ricardo Pereira,pt POR,DF,Leicester City,31-138,1993,2,2,146,1.6,0,0,0,0,0,0,0.63,0,0,0,0,0,0.63,3.13,1.88,0,0,0,0,0,0,0,0,0,0,Matches
390,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-081,1995,14,11,951,10.6,0,0,0,0,0,0,0.38,0.09,0.04,0.04,0.01,0.05,0.38,3.49,0.19,0,0,0,0,0,0.04,0.01,0.04,0.04,0.04,Matches
391,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-013,2002,11,2,332,3.7,0,0,0,0,0,0,1.08,0.27,0.14,0.14,0.08,0.22,1.89,1.08,4.59,0,0,0,0,0,0.13,0.08,0.2,0.13,0.2,Matches
392,Jaden Philogene Bidace,eng ENG,"FW,MF",Ipswich Town,23-013,2002,3,1,133,1.5,0,0,0,0,0,0,0,0,0,0,0,0,4.67,1.33,6,0,0,0,0,0,0,0,0,0,0,Matches
393,Jordan Pickford,eng ENG,GK,Everton,30-351,1994,25,25,2250,25,0,0.04,0.04,0,0,0,0.24,0,0,0,0.02,0.02,0,0,0,0,0.04,0.04,0,0.04,0,0.01,0.01,0,0.01,Matches
394,Ethan Pinnock,jm JAM,DF,Brentford,31-268,1993,17,16,1471,16.3,0.12,0,0.12,0.12,0,0,0.12,0,0.06,0.06,0.07,0.12,0.12,2.02,0.49,0.12,0,0.12,0.12,0.12,0.05,0.07,0.12,0.05,0.12,Matches
395,Daniel Podence,pt POR,"MF,FW",Wolves,29-123,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
396,Alfie Pond,eng ENG,DF,Wolves,20-357,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
397,Nick Pope,eng ENG,GK,Newcastle Utd,32-308,1992,15,15,1350,15,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Pedro Porro,es ESP,DF,Tottenham,25-161,1999,25,22,2078,23.1,0.09,0.22,0.3,0.09,0,0,0.09,0,0.06,0.06,0.12,0.18,2.29,5.45,3.72,0.09,0.22,0.3,0.09,0.3,0.06,0.12,0.18,0.06,0.18,Matches
399,Jarell Quansah,eng ENG,DF,Liverpool,22-023,2003,7,2,275,3.1,0,0,0,0,0,0,0.32,0,0,0,0,0,0.65,2.58,0.65,0,0,0,0,0,0,0,0,0,0,Matches
400,Hakon Rafn Valdimarsson,is ISL,GK,Brentford,23-131,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
401,Aaron Ramsdale,eng ENG,GK,Southampton,26-283,1998,17,17,1530,17,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
402,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-269,2001,18,12,1069,11.9,0.08,0.17,0.25,0.08,0,0,0.08,0,0.1,0.1,0.14,0.24,3.19,3.87,5.88,0.08,0.17,0.25,0.08,0.25,0.1,0.14,0.24,0.1,0.24,Matches
403,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-113,1997,15,12,978,10.9,0.37,0.09,0.46,0.37,0,0,0.18,0,0.16,0.16,0.19,0.35,1.83,1.93,7.25,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches
404,Marcus Rashford,eng ENG,FW,Aston Villa,27-113,1997,2,1,111,1.2,0,0,0,0,0,0,0,0,0.17,0.17,0.5,0.67,6.67,6.67,16.7,0,0,0,0,0,0.18,0.49,0.66,0.18,0.66,Matches
405,David Raya,es ESP,GK,Arsenal,29-159,1995,25,25,2250,25,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,Matches
406,Harrison Reed,eng ENG,MF,Fulham,30-025,1995,9,0,69,0.8,0,0,0,0,0,0,2.5,0,0.13,0.13,0.13,0.25,1.25,5,8.75,0,0,0,0,0,0.19,0.1,0.29,0.19,0.29,Matches
407,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18-352,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
408,Sergio Reguilon,es ESP,DF,Tottenham,28-067,1996,3,0,123,1.4,0,0,0,0,0,0,1.43,0,0.07,0.07,0,0.07,2.86,8.57,7.14,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches
409,Bobby Reid,jm JAM,"FW,MF",Leicester City,32-019,1993,17,5,526,5.8,0.17,0.34,0.52,0.17,0,0,0.17,0,0.14,0.14,0.21,0.34,1.38,2.24,5,0.17,0.34,0.51,0.17,0.51,0.13,0.21,0.33,0.13,0.33,Matches
410,Chadi Riad,ma MAR,DF,Crystal Palace,21-249,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,Matches
411,Declan Rice,eng ENG,MF,Arsenal,26-038,1999,23,21,1831,20.3,0.05,0.25,0.3,0.05,0,0,0.25,0.05,0.08,0.08,0.26,0.34,3.2,6.65,2.96,0.05,0.25,0.29,0.05,0.29,0.08,0.26,0.34,0.08,0.34,Matches
412,Chris Richards,us USA,DF,Crystal Palace,24-330,2000,14,12,1068,11.9,0,0,0,0,0,0,0.08,0,0.03,0.03,0.01,0.04,0.25,2.18,0.08,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
413,Richarlison,br BRA,FW,Tottenham,27-287,1997,9,2,279,3.1,0.65,0.32,0.97,0.65,0,0,0.32,0,0.39,0.39,0.29,0.68,2.58,3.23,5.48,0.65,0.32,0.97,0.65,0.97,0.38,0.29,0.67,0.38,0.67,Matches
414,Andrew Robertson,sct SCO,DF,Liverpool,30-347,1994,25,23,1898,21.1,0,0,0,0,0,0,0.14,0.05,0.03,0.03,0.19,0.22,2.32,6.49,3.79,0,0,0,0,0,0.03,0.19,0.22,0.03,0.22,Matches
415,Antonee Robinson,us USA,DF,Fulham,27-197,1997,25,25,2250,25,0,0.4,0.4,0,0,0,0.2,0,0.03,0.03,0.14,0.16,3.52,3.72,8.04,0,0.4,0.4,0,0.4,0.03,0.14,0.16,0.03,0.16,Matches
416,Rodri,es ESP,MF,Manchester City,28-244,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,1.43,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
417,Guido Rodriguez,ar ARG,MF,West Ham,30-315,1994,19,14,1017,11.3,0,0,0,0,0,0,0.44,0,0.02,0.02,0.01,0.03,0.18,2.74,0.44,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
418,Mads Roerslev,dk DEN,DF,Brentford,25-242,1999,19,11,1101,12.2,0,0.16,0.16,0,0,0,0.16,0,0.02,0.02,0.25,0.26,1.39,4.18,4.43,0,0.16,0.16,0,0.16,0.02,0.24,0.26,0.02,0.26,Matches
419,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,22-210,2002,25,25,2080,23.1,0.26,0.17,0.43,0.26,0,0,0.35,0,0.2,0.2,0.2,0.4,3.59,3.55,5.58,0.26,0.17,0.43,0.26,0.43,0.2,0.2,0.4,0.2,0.4,Matches
420,Cristian Romero,ar ARG,DF,Tottenham,26-300,1998,12,12,974,10.8,0.09,0,0.09,0.09,0,0,0.09,0,0.1,0.1,0.05,0.15,0.93,4.44,0.19,0.09,0,0.09,0.09,0.09,0.1,0.05,0.15,0.1,0.15,Matches
421,Georginio Rutter,fr FRA,"FW,MF",Brighton,22-307,2002,24,15,1339,14.9,0.27,0.13,0.4,0.27,0,0,0.13,0,0.24,0.24,0.12,0.36,2.62,4.09,4.5,0.27,0.13,0.4,0.27,0.4,0.24,0.12,0.36,0.24,0.36,Matches
422,Jose Sa,pt POR,GK,Wolves,32-035,1993,18,18,1620,18,0,0,0,0,0,0,0.06,0,0,0,0.01,0.01,0,0.11,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
423,Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-169,2001,16,16,1268,14.1,0.35,0.71,1.06,0.28,0.07,0.07,0.21,0,0.3,0.24,0.41,0.65,5.11,3.76,13.8,0.35,0.71,1.06,0.28,0.99,0.3,0.41,0.71,0.24,0.65,Matches
424,Mohamed Salah,eg EGY,FW,Liverpool,32-251,1992,26,26,2299,25.5,0.94,0.59,1.53,0.67,0.27,0.27,0.04,0,0.77,0.56,0.38,0.94,4.08,3.76,12.8,0.94,0.59,1.53,0.67,1.25,0.77,0.38,1.15,0.56,0.94,Matches
425,William Saliba,fr FRA,DF,Arsenal,23-334,2001,23,23,2009,22.3,0.09,0,0.09,0.09,0,0,0.09,0.04,0.09,0.09,0.02,0.11,0.4,3.54,0.13,0.09,0,0.09,0.09,0.09,0.08,0.02,0.11,0.08,0.11,Matches
426,Robert Sanchez,es ESP,GK,Chelsea,27-095,1997,21,21,1890,21,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,Matches
427,Jadon Sancho,eng ENG,FW,Chelsea,24-333,2000,19,13,1183,13.1,0.15,0.31,0.46,0.15,0,0,0.08,0,0.11,0.11,0.2,0.32,5.19,4.58,11.2,0.15,0.3,0.46,0.15,0.46,0.12,0.2,0.32,0.12,0.32,Matches
428,Ibrahim Sangare,ci CIV,MF,Nott'ham Forest,27-081,1997,5,3,249,2.8,0,0.36,0.36,0,0,0,0.71,0,0,0,0.11,0.11,0,3.93,0.71,0,0.36,0.36,0,0.36,0.01,0.11,0.12,0.01,0.12,Matches
429,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-286,1992,11,6,472,5.2,0.19,0.19,0.38,0.19,0,0,0.38,0,0.46,0.46,0.12,0.58,1.92,5.58,6.54,0.19,0.19,0.38,0.19,0.38,0.46,0.12,0.58,0.46,0.58,Matches
430,Jeremy Sarmiento,ec ECU,MF,Brighton,22-250,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,Matches
431,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,26-362,1998,25,18,1681,18.7,0.21,0.16,0.37,0.21,0,0,0.16,0,0.25,0.25,0.25,0.5,2.35,2.94,6.52,0.21,0.16,0.37,0.21,0.37,0.25,0.25,0.5,0.25,0.5,Matches
432,Savio,br BRA,"FW,MF",Manchester City,20-317,2004,20,15,1260,14,0.07,0.5,0.57,0.07,0,0,0.14,0,0.25,0.25,0.39,0.64,7.07,3.79,11.7,0.07,0.5,0.57,0.07,0.57,0.25,0.39,0.64,0.25,0.64,Matches
