Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,Matches
68,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-060,2004,12.8,51.5,1.56,7.89,25.9,18.6,2.19,51.5,5.16,1.72,33.3,3.13,60.6,28.5,174.5,81.9,2.58,1.72,0.55,3.05,2.27,31.3,4.22,Matches
69,Cameron Burgess,au AUS,DF,Ipswich Town,29-123,1995,10,61.8,13.6,36,22.2,3.6,1.9,61.8,0,0,,0,,30.7,145.4,75.6,0.2,0.3,0,0.2,0,37.2,0.3,Matches
70,Dan Burn,eng ENG,DF,Newcastle Utd,32-288,1992,24,62.6,11.1,36.6,23.2,2.88,1.33,62.6,0.08,0.08,100,0,0,37.1,162,65.9,0.13,0.08,0,0.38,0.08,42.9,0.25,Matches
71,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-090,1994,10.3,34,2.04,6.7,12.5,15.5,1.75,34,2.33,0.87,37.5,1.36,58.3,21,141.6,67.6,3.69,1.26,0.97,1.65,1.26,21.4,6.31,Matches
72,Moises Caicedo,ec ECU,MF,Chelsea,23-111,2001,24.3,72.1,2.51,15.4,44,13.3,0.41,72.1,1.44,0.58,40,0.53,37.1,41,185.6,89.7,1.11,0.86,0.08,0.99,0.66,51.2,1.11,Matches
73,Tom Cairney,sct SCO,MF,Fulham,34-032,1991,4.4,108.4,1.14,14.1,58.6,37.3,1.59,108.4,2.5,0.91,36.4,0.68,27.3,74.8,361.6,174.1,2.73,3.41,0.68,0.68,0.68,90.2,4.55,Matches
74,Jens Cajuste,se SWE,MF,Ipswich Town,25-195,1999,12.5,46.2,2.88,13.9,23.6,9.44,0.48,46.2,1.84,1.04,56.5,0.48,26.1,21,115.9,61.8,1.28,1.2,0.24,1.04,0.56,26.8,0.64,Matches
75,Riccardo Calafiori,it ITA,DF,Arsenal,22-278,2002,8.5,61.5,3.29,17.8,23.6,20.6,2.71,61.5,1.29,0.94,72.7,0.24,18.2,27.9,145.9,73.4,1.53,1.06,0.35,1.18,0.47,35.6,2.59,Matches
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-342,1997,17.5,28.1,1.2,2.17,11.7,14.5,4.69,28.1,1.43,0.57,40,0.74,52,15.3,79.8,25.4,1.26,0.46,0.91,4.06,1.83,23,6,Matches
77,Diego Carlos,br BRA,DF,Aston Villa,31-343,1993,9.2,73.3,9.35,36,35.9,1.63,0.65,73.3,0.22,0.22,100,0,0,45.5,231.8,126.3,0.33,0.33,0,0.11,0.22,52.3,0,Matches
78,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-175,2002,4.8,49.4,0.83,8.75,17.7,23.1,4.38,49.4,2.92,0.42,14.3,2.08,71.4,27.5,141.5,73.5,1.88,0.63,0,2.71,1.67,28.8,4.58,Matches
79,Casemiro,br BRA,MF,Manchester Utd,32-364,1992,10.3,77.5,5.15,21.1,40.7,16.1,2.91,77.5,0.49,0.29,60,0.19,40,41.3,129.1,59.8,0.29,0.68,0,0.78,0.87,51.5,2.14,Matches
80,Kaelan Casey,eng ENG,DF,West Ham,20-116,2004,0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
81,Matty Cash,pl POL,DF,Aston Villa,27-198,1997,14.2,52.2,3.45,18.9,21.7,12.3,2.11,52.2,1.83,0.92,50,0.77,42.3,26.1,170.7,86.5,2.39,2.11,0.28,0.77,0.28,30.1,3.31,Matches
82,Timothy Castagne,be BEL,DF,Fulham,29-078,1995,11,67.5,5.09,26,27.9,13.8,1.91,67.5,0.64,0.36,57.1,0.09,14.3,34.4,139.7,71.2,1.18,0.55,0.09,0.55,0.45,41.1,3.64,Matches
83,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-231,1999,11.8,50.3,5.59,23.3,23.4,4.32,1.19,50.3,0.85,0.51,60,0.17,20,23.6,102.8,56,0.93,0.76,0.08,0.34,0.59,26.9,0.51,Matches
84,Trevoh Chalobah,eng ENG,DF,Chelsea,25-231,1999,3,90,6.67,40.3,44.3,6.67,1.33,90,0.33,0.33,100,0,0,48.3,191.7,87.7,0.67,0.67,0,0,0,69,0,Matches
85,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-005,1997,6.8,41.3,0.88,6.76,20.7,14.6,1.76,41.3,0.88,0.44,50,0.44,50,20.3,102.5,55.9,1.47,1.03,0,1.32,0.44,28.2,2.94,Matches
86,Federico Chiesa,it ITA,FW,Liverpool,27-119,1997,0.3,76.7,0,6.67,36.7,33.3,10,76.7,3.33,0,0,3.33,100,60,223.3,113.3,6.67,0,3.33,3.33,10,60,13.3,Matches
87,Ben Chilwell,eng ENG,DF,Crystal Palace,28-062,1996,0.3,110,10,36.7,36.7,36.7,3.33,110,6.67,0,0,3.33,50,43.3,283.3,216.7,0,0,0,0,0,56.7,13.3,Matches
88,Chiquinho,pt POR,MF,Wolves,25-016,2000,0.1,30,0,0,10,20,10,30,0,0,,0,,10,130,50,0,0,0,0,0,20,0,Matches
89,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-143,1997,1.5,66.7,2.67,12.7,40.7,13.3,2,66.7,2.67,2,75,0.67,25,42,164,86.7,2.67,1.33,1.33,0.67,0,47.3,4,Matches
90,Ryan Christie,sct SCO,MF,Bournemouth,29-365,1995,20.4,57.9,3.28,11,32.5,15.4,1.91,57.9,2.01,0.88,43.9,0.98,48.8,30.6,158.1,73.5,1.37,1.72,0.25,1.91,1.03,33.1,1.96,Matches
91,Harry Clarke,eng ENG,DF,Ipswich Town,23-356,2001,4.2,63.8,4.29,23.8,29,11.2,0.48,63.8,0.48,0.24,50,0.24,50,28.1,132.1,52.9,1.19,1.67,0,0.95,0.48,38.8,0.48,Matches
92,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-090,2000,7.1,42,0.99,9.86,18.3,15.2,2.54,42,3.8,2.54,66.7,0.85,22.2,23.9,174.9,84.8,2.25,1.41,0.56,2.11,1.55,26.2,4.08,Matches
93,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-322,1991,4.4,45.7,3.64,17.5,20.7,7.5,0.45,45.7,0.23,0,0,0.23,100,24.3,105.2,56.6,1.14,0.45,0.45,0.91,0.45,27.7,1.59,Matches
94,Conor Coady,eng ENG,DF,Leicester City,31-362,1993,8,62.9,10.5,33.4,28.4,1.13,0.38,62.9,0.13,0.13,100,0,0,43.5,164.8,84.6,0,0.25,0.13,0.5,0,46.9,0,Matches
95,Seamus Coleman,ie IRL,DF,Everton,36-133,1988,2.2,45.5,5,17.7,19.5,8.64,0.91,45.5,2.27,1.82,80,0.45,20,19.5,102.3,49.5,0.45,0.45,0,0.45,0.45,23.2,0.91,Matches
96,Nathan Collins,ie IRL,DF,Brentford,23-297,2001,25,66.5,10.5,35.3,26.4,5.12,2,66.5,0.36,0.2,55.6,0.12,33.3,35.4,190.8,111.4,0.8,0.32,0,0.4,0.28,41.2,0.64,Matches
97,Toby Collyer,eng ENG,MF,Manchester Utd,21-049,2004,1.4,60,2.14,18.6,28.6,12.9,0.71,60,0.71,0.71,100,0,0,32.9,130.7,34.3,0,0,0,4.29,0.71,37.9,1.43,Matches
98,Levi Colwill,eng ENG,DF,Chelsea,21-361,2003,23,86.6,10.7,39.7,43.6,3.48,0.83,86.6,0.26,0.13,50,0.13,50,50.6,235.3,135.7,0.39,0.39,0,0.39,0.22,63.7,0.26,Matches
99,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-018,1997,22.6,58.7,2.57,13.2,31.4,14.9,0.62,58.7,0.53,0.31,58.3,0.22,41.7,26.5,135.9,74.7,1.19,0.97,0.13,0.97,0.58,29.8,1.46,Matches
100,Maxwel Cornet,ci CIV,FW,Southampton,28-147,1996,0.8,42.5,1.25,10,17.5,16.3,2.5,42.5,1.25,0,0,1.25,100,20,91.3,32.5,1.25,0,1.25,3.75,0,28.8,6.25,Matches
101,Vladimir Coufal,cz CZE,DF,West Ham,32-183,1992,8.2,59,5.85,22.9,23.3,12.9,0.98,59,0.85,0.24,28.6,0.24,28.6,23.2,113.7,51.8,1.34,0.49,0.12,0.98,0.61,30.7,2.56,Matches
102,Woyo Coulibaly,fr FRA,DF,Leicester City,25-277,1999,0.7,61.4,7.14,28.6,30,5.71,1.43,61.4,1.43,0,0,1.43,100,37.1,287.1,202.9,5.71,2.86,1.43,4.29,0,22.9,1.43,Matches
