Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
128,Axel Disasi,fr FRA,DF,Chelsea,26-347,1998,4,0.25,0,0,0.5,0,0,0,0.5,1,0,0,0,3.75,1.25,0.5,71.4,Matches
129,Roman Dixon,eng ENG,DF,Everton,20-057,2004,1,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0,Matches
130,Matt Doherty,ie IRL,DF,Wolves,33-036,1992,13.9,0.29,0,0,0.86,0.43,0.14,1.08,1.22,1.01,0,0,0.07,4.82,2.09,0.72,74.4,Matches
131,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-270,2002,8.9,0,0,0,0.34,2.13,0.45,3.37,0.22,1.35,0,0,0,4.16,0,0.79,0,Matches
132,Nicolas Dominguez,ar ARG,"MF,FW",Nott'ham Forest,26-238,1998,12.5,0.48,0,0,1.52,0.88,0.08,0.08,1.68,1.68,0,0,0,5.04,0.88,1.04,45.8,Matches
133,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-118,2004,1,1,0,0,1,3,1,5,0,4,0,0,0,2,2,0,100,Matches
134,Alfie Dorrington,eng ENG,DF,Tottenham,19-307,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,,Matches
135,Abdoulaye Doucoure,ml MLI,MF,Everton,32-051,1993,19.7,0.2,0.05,0.05,1.83,0.2,0.41,0.86,0.36,0.96,0,0,0,5.13,1.17,1.57,42.6,Matches
136,Cheick Doucoure,ml MLI,MF,Crystal Palace,25-044,2000,5,0.2,0,0,1.4,1.4,0,0.2,2.2,1.6,0,0,0,6.2,1,1,50,Matches
137,Flynn Downes,eng ENG,MF,Southampton,26-032,1999,15.9,0.57,0,0,2.33,1.82,0,0.13,1.38,1.19,0,0,0,3.33,0.69,0.57,55,Matches
138,Tommy Doyle,eng ENG,MF,Wolves,23-127,2001,5.2,0.19,0,0,0.96,0.96,0,2.69,0.96,1.15,0,0,0,7.88,0.19,1.15,14.3,Matches
139,Radu Dragusin,ro ROU,DF,Tottenham,23-018,2002,13.9,0.07,0,0,0.43,0.72,0,0.07,1.08,0.43,0,0,0,3.45,2.37,1.58,60,Matches
140,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-037,1989,10,0,0,0,0,0.1,0,0,0,0,0,0,0,1.8,0.4,0,100,Matches
141,Lewis Dunk,eng ENG,DF,Brighton,33-092,1991,17.4,0.23,0,0,0.29,0.46,0.11,0.11,0.57,0.46,0,0,0.06,4.83,2.24,1.38,61.9,Matches
142,Jader Duran,co COL,FW,Aston Villa,21-070,2003,7.1,0.42,0.14,0,1.97,2.11,0.7,0.42,0,0.99,0,0,0,2.68,2.68,2.68,50,Matches
143,Ederson,br BRA,GK,Manchester City,31-188,1993,16,0.19,0,0,0.06,0,0,0,0.06,0,0,0.06,0,1.75,0.19,0.06,75,Matches
144,George Edmundson,eng ENG,DF,Ipswich Town,27-174,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
145,Odsonne Edouard,fr FRA,"MF,FW",Crystal Palace,27-036,1998,1.3,0,0,0,3.08,0,1.54,0.77,0,0,0,0,0,3.85,0.77,3.08,20,Matches
146,Odsonne Edouard,fr FRA,FW,Leicester City,27-036,1998,0.3,0,0,0,6.67,0,0,0,0,3.33,0,0,0,3.33,3.33,3.33,50,Matches
147,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-024,2003,0.7,1.43,0,0,2.86,1.43,0,5.71,0,1.43,0,0,0,1.43,0,0,,Matches
148,Ronnie Edwards,eng ENG,DF,Southampton,21-330,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
149,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-300,2002,17.2,0.06,0,0,0.29,1.51,0.58,6.74,0.29,0.47,0,0,0,3.43,0.99,1.4,41.5,Matches
150,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-323,2003,0.9,0,0,0,0,0,1.11,10,0,2.22,0,0,0,3.33,0,0,,Matches
